,code,target_date,min_distance,min_s_distance,min_l_p_distance,min_l_p_v_distance,min_distance_name,matching_period
133,002935,20260119,101.50359013623574,270.8476880613841,40.46878564075473,20.271620063985218,瑞达期货-20251020-20251107,['20251226']-['20260119']
368,002146,20260119,101.5501599865864,312.6039553854812,4.792098565214545,15.828359503444169,华纳药厂-20250409-20250512,['20251218']-['20260119']
311,002183,20260119,101.78161555390156,298.85877595913416,21.493251645705325,14.1900181811243,瑞达期货-20251020-20251107,['20251226']-['20260119']
134,300803,20260119,102.04510380323211,278.8683753454767,34.4514486502325,20.122891511298416,瑞达期货-20251020-20251107,['20251226']-['20260119']
244,603868,20260119,102.6655158276044,323.95483038474765,7.1219090750567124,8.356234974157704,微芯生物-20250527-20250620,['20251223']-['20260119']
251,688456,20260119,102.80002641800054,323.08373154795106,7.416277717691216,9.125059095769654,微芯生物-20250527-20250620,['20251223']-['20260119']
170,301110,20260119,102.92652041641377,316.9589752857869,4.434151309696515,16.271456094421865,华纳药厂-20250409-20250512,['20251218']-['20260119']
146,301301,20260119,102.97276276620931,301.7516825483242,20.427625180220314,15.797426119114931,瑞达期货-20251020-20251107,['20251226']-['20260119']
372,300299,20260119,103.05824919075079,278.35125524134304,36.644944108335146,21.398473464618334,瑞达期货-20251020-20251107,['20251226']-['20260119']
227,002083,20260119,103.20010931299694,277.7313294576845,37.2607571174856,21.756208351114775,瑞达期货-20251020-20251107,['20251226']-['20260119']
272,688509,20260119,103.31788036350203,280.1182722822333,41.06010208408807,17.410920134014034,瑞达期货-20251020-20251107,['20251226']-['20260119']
241,002905,20260119,103.61883823535508,315.3946421625528,10.28745199585617,14.785524969580951,中信证券-20240708-20240730,['20251224']-['20260119']
0,000561,20260119,103.74141017486897,323.1924365700998,5.404915868216117,12.905511108435503,华纳药厂-20250409-20250512,['20251218']-['20260119']
187,601696,20260119,103.74549957704832,285.13565372807824,32.811149982508894,20.903646159680445,瑞达期货-20251020-20251107,['20251226']-['20260119']
